;raceId;year;round;circuitId;name_x;date;resultId;driverId;constructorId;position;points;Pointsinday;laps;rank;fastestLapTime;fastestLapSpeed;driverRef;number_y;code;forename;surname;nationality;name_y;location;country;lat;lng
254;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24881;847;3;\N;0;0;51;16;1:18.811;224.237;russell;63;RUS;George;Russell;British;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
274;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24901;847;3;16;0;0;57;14;1:40.814;190.616;russell;63;RUS;George;Russell;British;Istanbul Park;Istanbul;Turkey;40,9517;29,405
307;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24917;847;3;12;0;0;56;17;1:35.042;204.995;russell;63;RUS;George;Russell;British;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
308;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24934;847;131;9;3;3;87;1;0:55.404;230.214;russell;63;RUS;George;Russell;British;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
334;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24960;847;3;15;0;3;54;20;1:43.328;193.504;russell;63;RUS;George;Russell;British;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
24;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24638;848;9;13;0;0;67;7;1:08.432;227.156;albon;23;ALB;Alexander;Albon;Thai;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
25;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24649;848;9;4;12;12;71;6;1:07.299;230.981;albon;23;ALB;Alexander;Albon;Thai;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
52;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24670;848;9;5;10;22;70;5;1:19.440;198.534;albon;23;ALB;Alexander;Albon;Thai;Hungaroring;Budapest;Hungary;47,5789;19,2486
82;1034;2020;4;9;British Grand Prix;2020-08-02;24693;848;9;8;4;26;52;2;1:28.689;239.123;albon;23;ALB;Alexander;Albon;Thai;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
83;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24710;848;9;5;10;36;52;3;1:29.477;237.017;albon;23;ALB;Alexander;Albon;Thai;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
112;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24733;848;9;8;4;40;65;11;1:22.194;203.883;albon;23;ALB;Alexander;Albon;Thai;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
132;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24751;848;9;6;8;48;44;12;1:48.736;231.886;albon;23;ALB;Alexander;Albon;Thai;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
152;1038;2020;8;14;Italian Grand Prix;2020-09-06;24780;848;9;15;0;48;53;15;1:24.926;245.564;albon;23;ALB;Alexander;Albon;Thai;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
172;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24788;848;9;3;15;63;59;3;1:20.039;235.909;albon;23;ALB;Alexander;Albon;Thai;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
192;1040;2020;10;71;Russian Grand Prix;2020-09-27;24815;848;9;10;1;64;53;9;1:38.377;214.001;albon;23;ALB;Alexander;Albon;Thai;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
212;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24842;848;9;\N;0;64;23;18;1:32.330;200.723;albon;23;ALB;Alexander;Albon;Thai;Nürburgring;Nürburg;Germany;50,3356;6,9475
232;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24857;848;9;12;0;64;65;5;1:19.890;209.673;albon;23;ALB;Alexander;Albon;Thai;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
252;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24880;848;9;15;0;64;63;3;1:16.177;231.991;albon;23;ALB;Alexander;Albon;Thai;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
272;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24892;848;9;7;6;70;58;5;1:39.099;193.915;albon;23;ALB;Alexander;Albon;Thai;Istanbul Park;Istanbul;Turkey;40,9517;29,405
303;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24908;848;9;3;15;85;57;10;1:33.684;207.967;albon;23;ALB;Alexander;Albon;Thai;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
304;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24931;848;9;6;8;93;87;8;0:57.056;223.548;albon;23;ALB;Alexander;Albon;Thai;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
332;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24949;848;9;4;12;105;55;4;1:41.227;197.520;albon;23;ALB;Alexander;Albon;Thai;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
20;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24636;849;3;11;0;0;71;16;1:09.662;223.146;latifi;6;LAT;Nicholas;Latifi;Canadian;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
21;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24662;849;3;17;0;0;69;17;1:08.806;225.922;latifi;6;LAT;Nicholas;Latifi;Canadian;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
50;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24684;849;3;19;0;0;65;19;1:21.198;194.236;latifi;6;LAT;Nicholas;Latifi;Canadian;Hungaroring;Budapest;Hungary;47,5789;19,2486
78;1034;2020;4;9;British Grand Prix;2020-08-02;24700;849;3;15;0;0;52;14;1:30.501;234.335;latifi;6;LAT;Nicholas;Latifi;Canadian;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
79;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24724;849;3;19;0;0;51;5;1:29.950;235.770;latifi;6;LAT;Nicholas;Latifi;Canadian;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
110;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24743;849;3;18;0;0;64;9;1:22.030;204.291;latifi;6;LAT;Nicholas;Latifi;Canadian;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
130;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24761;849;3;16;0;0;44;6;1:48.048;233.362;latifi;6;LAT;Nicholas;Latifi;Canadian;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
150;1038;2020;8;14;Italian Grand Prix;2020-09-06;24776;849;3;11;0;0;53;16;1:24.999;245.353;latifi;6;LAT;Nicholas;Latifi;Canadian;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
170;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24800;849;3;\N;0;0;6;14;2:11.365;143.736;latifi;6;LAT;Nicholas;Latifi;Canadian;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
190;1040;2020;10;71;Russian Grand Prix;2020-09-27;24821;849;3;16;0;0;52;18;1:41.044;208.352;latifi;6;LAT;Nicholas;Latifi;Canadian;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
210;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24839;849;3;14;0;0;60;13;1:31.377;202.816;latifi;6;LAT;Nicholas;Latifi;Canadian;Nürburgring;Nürburg;Germany;50,3356;6,9475
230;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24863;849;3;18;0;0;64;19;1:21.859;204.629;latifi;6;LAT;Nicholas;Latifi;Canadian;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
250;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24876;849;3;11;0;0;63;14;1:18.719;224.499;latifi;6;LAT;Nicholas;Latifi;Canadian;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
270;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24904;849;3;\N;0;0;39;19;1:43.495;185.678;latifi;6;LAT;Nicholas;Latifi;Canadian;Istanbul Park;Istanbul;Turkey;40,9517;29,405
299;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24919;849;3;14;0;0;56;15;1:34.591;205.973;latifi;6;LAT;Nicholas;Latifi;Canadian;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
300;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24943;849;3;\N;0;0;52;18;0:58.206;219.132;latifi;6;LAT;Nicholas;Latifi;Canadian;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
330;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24962;849;3;17;0;0;54;16;1:42.497;195.073;latifi;6;LAT;Nicholas;Latifi;Canadian;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
319;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24942;850;210;17;0;0;87;17;0:57.742;220.892;pietro_fittipaldi;51;FIT;Pietro;Fittipaldi;Brazilian;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
339;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24964;850;210;19;0;0;53;8;1:41.707;196.588;pietro_fittipaldi;51;FIT;Pietro;Fittipaldi;Brazilian;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
318;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24941;851;3;16;0;0;87;15;0:57.392;222.240;aitken;89;AIT;Jack;Aitken;British;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
